,subj,total_duration_sec,mean_duration_sec,total_files,total_duration_min,aug,,greater1000,greater2000,greater4000
1,S024,7049,7.938063063,888,117,7104,,13,11,9
2,S026,789,21.32432432,37,13,296,,,,
3,S028,873,8.818181818,99,15,792,,,,
4,S030,29580,5.669925244,5217,493,41736,,,,
5,S031,223,18.58333333,12,4,96,,,,
6,S033,2920,12.5862069,232,49,1856,,,,
7,S035,592,6.040816327,98,10,784,,,,
8,S036,331,10.34375,32,6,256,,,,
9,S037,680,17.89473684,38,11,304,,,,
10,S040,6011,6.133673469,980,100,7840,,,,
11,S043,852,9.906976744,86,14,688,,,,
12,S045,243,14.29411765,17,4,136,,,,
13,S046,257,9.178571429,28,4,224,,,,
14,S050,1832,7.019157088,261,31,2088,,,,
15,S051,970,8.50877193,114,16,912,,,,
16,S052,531,5.835164835,91,9,728,,,,
17,S053,6351,6.8216971,931,106,7448,,,,
18,S055,976,10.06185567,97,16,776,,,,
19,S058,1460,21.47058824,68,24,544,,,,
20,S059,10685,7.903106509,1352,178,10816,,,,
21,S060,110,5.789473684,19,2,152,,,,
22,S061,7895,10.96527778,720,132,5760,,,,
23,S062,5618,5.779835391,972,94,7776,,,,
24,S063,3431,8.347931873,411,57,3288,,,,
25,S065,8725,8.405587669,1038,145,8304,,,,
26,S066,5136,5.751399776,893,86,7144,,,,
27,S067,1194,7.703225806,155,20,1240,,,,
